shipment_id,customer_id,origin_port,destination_port,container_type,booking_lead_days,transshipment_count,port_congestion_score,weather_risk_score,historical_delay_rate,carrier_reliability_score
TRN_00000,CUS_C,PUS,SIN,45HC,27,2,0.338,0.455,0.268,0.802
TRN_00001,CUS_A,SGN,SGN,20GP,7,0,0.41,0.305,0.344,0.843
TRN_00002,CUS_A,LAX,HKG,40HC,27,2,0.526,0.197,0.361,0.899
TRN_00003,CUS_D,PUS,HKG,45HC,18,0,0.414,0.081,0.236,0.842
TRN_00004,CUS_B,LAX,SIN,20GP,25,0,0.564,0.275,0.164,0.896
TRN_00005,CUS_A,RTM,PUS,45HC,8,0,0.652,0.533,0.323,0.829
TRN_00006,CUS_A,SGN,HAM,20GP,4,3,0.419,0.044,0.237,0.633
TRN_00007,CUS_B,SHA,RTM,40GP,3,3,0.223,0.126,0.444,0.463
TRN_00008,CUS_C,SHA,RTM,20GP,12,1,0.498,0.267,0.432,0.737
TRN_00009,CUS_C,SIN,RTM,20GP,17,0,0.706,0.429,0.197,0.741
TRN_00010,CUS_C,HKG,RTM,40HC,9,3,0.249,0.352,0.332,0.644
TRN_00011,CUS_C,HAM,PUS,40GP,8,0,0.438,0.181,0.069,0.66
TRN_00012,CUS_A,HKG,SHA,45HC,24,1,0.691,0.151,0.109,0.776
TRN_00013,CUS_A,SGN,RTM,40GP,22,3,0.335,0.28,0.344,0.875
TRN_00014,CUS_B,LAX,PUS,40HC,19,1,0.508,0.506,0.41,0.585
TRN_00015,CUS_C,SGN,PUS,45HC,19,3,0.32,0.42,0.101,0.641
TRN_00016,CUS_C,SHA,RTM,45HC,25,1,0.225,0.546,0.112,0.798
TRN_00017,CUS_A,LAX,SIN,40GP,7,1,0.26,0.602,0.047,0.465
TRN_00018,CUS_D,SHA,SGN,45HC,28,1,0.478,0.647,0.562,0.516
TRN_00019,CUS_C,HKG,LAX,40HC,25,3,0.428,0.282,0.301,0.694
TRN_00020,CUS_D,HAM,LAX,40GP,10,1,0.519,0.323,0.108,0.564
TRN_00021,CUS_A,HAM,PUS,45HC,11,3,0.243,0.437,0.298,0.889
TRN_00022,CUS_D,SIN,SIN,45HC,6,3,0.569,0.249,0.139,0.71
TRN_00023,CUS_B,RTM,PUS,40HC,21,2,0.224,0.568,0.059,0.583
TRN_00024,CUS_A,LAX,SHA,20GP,9,1,0.516,0.588,0.182,0.92
TRN_00025,CUS_C,SHA,RTM,45HC,8,2,0.469,0.57,0.724,0.626
TRN_00026,CUS_D,HKG,SIN,40GP,20,1,0.143,0.33,0.323,0.905
TRN_00027,CUS_B,SHA,SGN,20GP,6,2,0.559,0.676,0.311,0.707
TRN_00028,CUS_A,HKG,LAX,40HC,4,2,0.365,0.37,0.097,0.934
TRN_00029,CUS_D,RTM,SIN,45HC,25,3,0.781,0.081,0.165,0.792
TRN_00030,CUS_C,RTM,HKG,40GP,2,3,0.315,0.507,0.474,0.868
TRN_00031,CUS_B,RTM,LAX,45HC,27,1,0.713,0.579,0.274,0.559
TRN_00032,CUS_B,LAX,HKG,20GP,20,3,0.24,0.135,0.113,0.914
TRN_00033,CUS_D,LAX,SIN,40HC,11,3,0.11,0.122,0.465,0.921
TRN_00034,CUS_B,SIN,SGN,20GP,17,1,0.63,0.236,0.328,0.947
TRN_00035,CUS_C,LAX,SIN,45HC,10,0,0.089,0.363,0.077,0.797
TRN_00036,CUS_A,SHA,SGN,40GP,12,1,0.171,0.265,0.115,0.921
TRN_00037,CUS_A,HAM,HAM,45HC,21,2,0.659,0.256,0.427,0.804
TRN_00038,CUS_B,SIN,HKG,40GP,27,0,0.356,0.347,0.204,0.868
TRN_00039,CUS_C,SGN,HAM,45HC,7,3,0.444,0.122,0.433,0.888
TRN_00040,CUS_A,SGN,SHA,20GP,16,3,0.591,0.161,0.51,0.89
TRN_00041,CUS_C,SIN,SHA,40HC,26,0,0.568,0.059,0.238,0.923
TRN_00042,CUS_A,RTM,SGN,20GP,1,1,0.324,0.459,0.203,0.791
TRN_00043,CUS_A,HKG,SGN,45HC,1,1,0.075,0.219,0.034,0.69
TRN_00044,CUS_D,PUS,SIN,40GP,18,3,0.219,0.584,0.168,0.629
TRN_00045,CUS_A,HKG,RTM,20GP,5,3,0.258,0.539,0.103,0.666
TRN_00046,CUS_A,SIN,HAM,45HC,29,2,0.657,0.475,0.19,0.955
TRN_00047,CUS_D,SIN,RTM,40HC,4,2,0.707,0.459,0.326,0.815
TRN_00048,CUS_A,PUS,HKG,40GP,22,3,0.136,0.18,0.155,0.514
TRN_00049,CUS_B,LAX,HKG,45HC,10,2,0.338,0.435,0.086,0.844
TRN_00050,CUS_B,SHA,SIN,45HC,27,2,0.773,0.426,0.254,0.911
TRN_00051,CUS_C,SHA,RTM,45HC,26,3,0.351,0.069,0.221,0.902
TRN_00052,CUS_D,PUS,RTM,45HC,24,2,0.537,0.28,0.186,0.472
TRN_00053,CUS_C,SIN,SGN,45HC,19,0,0.523,0.11,0.438,0.639
TRN_00054,CUS_A,SGN,SIN,45HC,7,1,0.504,0.489,0.142,0.704
TRN_00055,CUS_D,RTM,SHA,20GP,4,2,0.32,0.232,0.297,0.93
TRN_00056,CUS_D,SIN,HAM,40HC,8,3,0.162,0.193,0.252,0.231
TRN_00057,CUS_A,PUS,SGN,45HC,3,2,0.462,0.612,0.302,0.748
TRN_00058,CUS_A,SHA,HKG,40HC,23,1,0.562,0.216,0.543,0.624
TRN_00059,CUS_A,HKG,HAM,45HC,9,0,0.103,0.338,0.32,0.743
TRN_00060,CUS_B,SGN,SHA,40HC,13,3,0.814,0.431,0.184,0.663
TRN_00061,CUS_B,RTM,HKG,45HC,18,0,0.033,0.206,0.207,0.522
TRN_00062,CUS_D,HAM,RTM,20GP,21,0,0.054,0.509,0.224,0.815
TRN_00063,CUS_C,SHA,SIN,40HC,18,2,0.158,0.367,0.115,0.862
TRN_00064,CUS_D,RTM,SIN,40GP,22,2,0.285,0.462,0.346,0.66
TRN_00065,CUS_C,SHA,SIN,20GP,4,2,0.395,0.339,0.305,0.615
TRN_00066,CUS_D,RTM,RTM,40HC,9,1,0.361,0.098,0.188,0.866
TRN_00067,CUS_A,LAX,SGN,45HC,23,2,0.405,0.426,0.146,0.751
TRN_00068,CUS_C,SHA,LAX,40GP,21,1,0.263,0.302,0.245,0.813
TRN_00069,CUS_D,HAM,SGN,40HC,19,1,0.743,0.293,0.149,0.638
TRN_00070,CUS_D,PUS,LAX,40GP,28,0,0.284,0.059,0.309,0.858
TRN_00071,CUS_C,LAX,SHA,40GP,29,2,0.345,0.303,0.104,0.882
TRN_00072,CUS_B,SIN,HKG,40GP,3,2,0.162,0.254,0.341,0.738
TRN_00073,CUS_B,HAM,SIN,20GP,17,1,0.367,0.175,0.145,0.963
TRN_00074,CUS_B,PUS,LAX,45HC,27,2,0.656,0.253,0.453,0.702
TRN_00075,CUS_B,HAM,RTM,20GP,10,0,0.747,0.432,0.172,0.707
TRN_00076,CUS_C,RTM,PUS,40HC,2,2,0.537,0.424,0.248,0.877
TRN_00077,CUS_C,RTM,PUS,20GP,4,2,0.424,0.102,0.087,0.741
TRN_00078,CUS_A,HAM,PUS,20GP,21,2,0.333,0.298,0.186,0.798
TRN_00079,CUS_D,LAX,RTM,20GP,27,2,0.544,0.456,0.241,0.66
TRN_00080,CUS_B,HAM,SHA,40HC,21,3,0.275,0.686,0.294,0.833
TRN_00081,CUS_B,SHA,RTM,40GP,2,3,0.51,0.222,0.475,0.727
TRN_00082,CUS_C,SIN,SGN,20GP,12,1,0.412,0.367,0.063,0.986
TRN_00083,CUS_B,SHA,LAX,20GP,11,1,0.453,0.105,0.43,0.758
