shipment_id,customer_id,origin_port,destination_port,container_type,booking_lead_days,transshipment_count,port_congestion_score,weather_risk_score,historical_delay_rate,carrier_reliability_score
SHP_00000,CUS_D,SHA,HKG,45HC,24,2,0.191,0.104,0.136,0.895
SHP_00001,CUS_A,LAX,RTM,40HC,20,1,0.572,0.307,0.332,0.876
SHP_00002,CUS_A,RTM,SHA,20GP,15,0,0.35,0.525,0.318,0.377
SHP_00003,CUS_D,SGN,PUS,40HC,16,1,0.472,0.288,0.175,0.832
SHP_00004,CUS_A,SHA,RTM,45HC,27,0,0.143,0.394,0.247,0.705
SHP_00005,CUS_A,SGN,LAX,20GP,16,2,0.105,0.666,0.617,0.647
SHP_00006,CUS_A,SIN,SHA,40GP,17,3,0.816,0.533,0.165,0.674
SHP_00007,CUS_D,HAM,PUS,20GP,11,3,0.523,0.109,0.318,0.834
SHP_00008,CUS_D,LAX,LAX,20GP,27,0,0.484,0.373,0.284,0.958
SHP_00009,CUS_B,SGN,PUS,40HC,6,2,0.569,0.546,0.124,0.496
SHP_00010,CUS_C,HKG,LAX,40GP,23,1,0.382,0.113,0.354,0.703
SHP_00011,CUS_A,SIN,RTM,45HC,1,2,0.435,0.297,0.156,0.534
SHP_00012,CUS_B,SGN,HKG,40GP,3,3,0.684,0.3,0.15,0.8
SHP_00013,CUS_D,SHA,SHA,40GP,16,3,0.313,0.203,0.129,0.6
SHP_00014,CUS_D,HAM,RTM,20GP,12,3,0.283,0.253,0.158,0.513
SHP_00015,CUS_C,SIN,PUS,40GP,1,1,0.1,0.554,0.27,0.814
SHP_00016,CUS_D,SGN,LAX,40GP,11,2,0.075,0.177,0.416,0.714
SHP_00017,CUS_A,SHA,HKG,20GP,20,2,0.614,0.189,0.279,0.946
SHP_00018,CUS_A,PUS,PUS,45HC,19,3,0.602,0.261,0.436,0.834
SHP_00019,CUS_D,LAX,RTM,45HC,4,2,0.255,0.14,0.229,0.635
SHP_00020,CUS_D,SGN,HKG,40GP,11,0,0.365,0.159,0.148,0.646
SHP_00021,CUS_D,HKG,PUS,20GP,26,0,0.269,0.269,0.529,0.804
SHP_00022,CUS_B,LAX,HAM,40HC,27,1,0.369,0.219,0.305,0.886
SHP_00023,CUS_A,SGN,RTM,40GP,9,0,0.339,0.279,0.168,0.972
SHP_00024,CUS_C,HAM,SGN,20GP,10,1,0.596,0.146,0.136,0.823
SHP_00025,CUS_B,SIN,SGN,20GP,3,1,0.184,0.244,0.269,0.54
SHP_00026,CUS_B,RTM,SIN,20GP,9,1,0.655,0.159,0.175,0.533
SHP_00027,CUS_D,SGN,HKG,40GP,19,1,0.178,0.127,0.122,0.694
SHP_00028,CUS_D,SHA,SHA,40HC,19,3,0.733,0.497,0.18,0.708
SHP_00029,CUS_B,PUS,RTM,45HC,21,0,0.134,0.279,0.216,0.579
SHP_00030,CUS_D,HAM,SIN,40GP,1,1,0.367,0.598,0.206,0.901
SHP_00031,CUS_A,SGN,SIN,40HC,3,3,0.255,0.389,0.622,0.779
SHP_00032,CUS_C,SHA,SHA,40HC,15,3,0.069,0.573,0.173,0.833
SHP_00033,CUS_A,SHA,SIN,20GP,7,0,0.464,0.265,0.28,0.814
SHP_00034,CUS_C,HKG,PUS,40GP,1,2,0.229,0.482,0.468,0.806
SHP_00035,CUS_A,SIN,HAM,45HC,9,1,0.286,0.406,0.154,0.771
SHP_00036,CUS_C,SHA,LAX,45HC,20,3,0.063,0.057,0.443,0.631
SHP_00037,CUS_B,HAM,LAX,40HC,19,2,0.213,0.418,0.281,0.801
SHP_00038,CUS_A,PUS,SHA,20GP,27,1,0.816,0.132,0.478,0.668
SHP_00039,CUS_C,RTM,SHA,40HC,9,0,0.142,0.452,0.34,0.658
SHP_00040,CUS_B,SIN,PUS,40GP,22,2,0.678,0.642,0.336,0.708
SHP_00041,CUS_C,RTM,PUS,40GP,6,0,0.466,0.483,0.555,0.948
SHP_00042,CUS_D,HAM,PUS,40HC,11,3,0.101,0.125,0.105,0.773
SHP_00043,CUS_B,LAX,RTM,20GP,29,2,0.017,0.196,0.109,0.842
SHP_00044,CUS_D,PUS,LAX,45HC,16,2,0.711,0.368,0.217,0.628
SHP_00045,CUS_A,HAM,HKG,45HC,10,1,0.482,0.333,0.087,0.893
SHP_00046,CUS_C,RTM,SGN,40GP,2,0,0.655,0.205,0.533,0.564
SHP_00047,CUS_A,HKG,SIN,45HC,2,2,0.242,0.113,0.114,0.467
SHP_00048,CUS_C,HKG,HKG,40HC,6,0,0.139,0.507,0.041,0.773
SHP_00049,CUS_C,HAM,PUS,20GP,18,1,0.305,0.637,0.311,0.648
SHP_00050,CUS_D,SGN,HKG,20GP,7,1,0.142,0.322,0.424,0.889
SHP_00051,CUS_A,SHA,SIN,20GP,8,2,0.206,0.388,0.12,0.849
SHP_00052,CUS_C,SGN,RTM,20GP,25,3,0.048,0.357,0.068,0.702
SHP_00053,CUS_A,SGN,HKG,40HC,9,2,0.238,0.2,0.046,0.596
SHP_00054,CUS_C,HAM,SIN,20GP,20,1,0.503,0.204,0.081,0.904
SHP_00055,CUS_D,PUS,HAM,45HC,16,0,0.249,0.508,0.145,0.697
SHP_00056,CUS_B,RTM,SGN,20GP,18,1,0.395,0.535,0.226,0.69
SHP_00057,CUS_A,RTM,SGN,40GP,2,3,0.255,0.393,0.371,0.645
SHP_00058,CUS_D,HAM,HKG,40HC,1,3,0.566,0.605,0.413,0.823
SHP_00059,CUS_C,LAX,PUS,40HC,13,3,0.594,0.423,0.309,0.572
SHP_00060,CUS_A,HAM,LAX,40HC,12,0,0.344,0.375,0.176,0.695
SHP_00061,CUS_D,SHA,SHA,20GP,22,2,0.12,0.189,0.563,0.922
